Year;Make-model-year-fuel;Make;Model;Variant;Size segment;Fuel-size segment;No. of registrations;Shares;Prices (2015-DKK);Ownership cost (DKK);Weight (kg);Fuel;Engine effect (kW);Horsepower;Size (m3);Footprint (m�);Cost/km (DKK);fuelPrice (DKK/unit)
2006;seat-ibiza-2006-Benzin;seat;ibiza;1,4;Small;BenzinSmall;406;0.000161294;1682126168,00;1.505.899.625;1550;Benzin;63;80;96.696;6.715;0.734415584;11.31
2006;opel-vectra-2006-Diesel;opel;vectra;1,9 CDTI;Small;DieselSmall;404;0.0001605;3658329439,00;2.971.220.502;2000;Diesel;88;1.488.571.429;1.250.042.694;8.462.571.429;0.601183432;10.16
2006;audi-a3-2006-Diesel;audi;a3;1,9 TDI;Small;DieselSmall;402;0.000159705;3317441589,00;3.027.816.746;1855;Diesel;77;110.8;10.721.568;7.499.072;0.502970297;10.16
2006;renault-clio-2006-Diesel;renault;clio;1,5 DCI 68 HK;Small;DieselSmall;392;0.000155732;1343446262,00;1.202.190.321;1540;Diesel;50;60;8.872.728;62.484;0.436051502;10.16
2006;nissan-note-2006-Benzin;nissan;note;1,4;Small;BenzinSmall;389;0.000154541;2445116822,00;2.161.468.825;1546;Benzin;81;110;1.068.756;68.952;0.711320755;11.31
2006;chevrolet-lacetti-2006-Benzin;chevrolet;lacetti;1,6;Small;BenzinSmall;387;0.000153746;1869100467,00;1.342.308.546;1650;Benzin;70;93;1.078.655;7.439;0.80212766;11.31
2006;renault-scenic-2006-Diesel;renault;scenic;1,5 DCI;Large;DieselLarge;373;0.000148184;3154193925,00;2.819.495.022;2165;Diesel;78;112;124.635.672;769.356;0.608383234;10.16
2006;hyundai-atos-2006-Benzin;hyundai;atos;1,1 SEDAN AUT.;Small;BenzinSmall;355;0.000141033;122661215,00;9.483.542.772;1336;Benzin;46;62;8.495.584;54.112;0.621428571;11.31
2006;volkswagen-polo-2006-Diesel;volkswagen;polo;1,4 TDI;Small;DieselSmall;329;0.000130704;2254649533,00;2.076.262.061;1650;Diesel;59;90;949.179;6.457;0.457657658;10.16
2006;volkswagen-jetta-2006-Diesel;volkswagen;jetta;1,9 TDI;Small;DieselSmall;328;0.000130307;3469591121,00;3.171.646.567;1950;Diesel;77;102.75;1.190.553;803.075;0.529166667;10.16
2006;volvo-s60-2006-Benzin;volvo;s60;2,4;Large;BenzinLarge;328;0.000130307;5689252336,00;5.392.546.466;2000;Benzin;125;151.5;118.404;8.28;1.077.142.857;11.31
2006;seat-leon-2006-Diesel;seat;leon;1,9 TDI;Small;DieselSmall;328;0.000130307;2569988318,00;2.304.759.663;1875;Diesel;77;1.163.333.333;11.163.744;76.464;0.529166667;10.16
2006;volvo-xc90-2006-Diesel;volvo;xc90;D5 AUT AWD;Large;DieselLarge;316;0.000125539;1051865654,00;9.981.357.925;2600;Diesel;136;185;1.578.528;9.072;0.915315315;10.16
2006;hyundai-matrix-2006-Diesel;hyundai;matrix;1,5 CRDI;Small;DieselSmall;316;0.000125539;204432243,00;1.626.167.153;1850;Diesel;81;106.5;11.500.008;70.035;0.537566138;10.16
2006;peugeot-partner-2006-Benzin;peugeot;partner;1,6;Large;BenzinLarge;297;0.000117991;1930221963,00;1.508.666.518;1850;Benzin;0;9.666.666.667;12.888.648;7.109.333.333;0.85037594;11.31
2006;volvo-v70-2006-Diesel;volvo;v70;D 5 AUT.;Large;DieselLarge;251;9.97E-05;5497593458,00;5.278.336.164;2175;Diesel;136;167.25;1.263.222;848.025;0.8;10.16
2006;chevrolet-epica-2006-Benzin;chevrolet;epica;2;Large;BenzinLarge;227;9.02E-05;3270969626,00;2.340.519.294;1985;Benzin;115;143;125.976;8.688;1.047.222.222;11.31
2006;volkswagen-touran-2006-Benzin;volkswagen;touran;1,6 FSI;Large;BenzinLarge;226;8.98E-05;3913528037,00;3.573.501.196;2150;Benzin;110;1.169.230.769;12.808.703;7.860.853.846;0.88359375;11.31
2006;honda-accord-2006-Benzin;honda;accord;2,0 COMFORT;Large;BenzinLarge;216;8.58E-05;4310175234,00;3.761.666.465;1925;Benzin;140;190;1.191.784;82.192;0.87;11.31
2006;seat-altea-2006-Benzin;seat;altea;1,6;Large;BenzinLarge;213;8.46E-05;3134007009,00;2.797.770.162;1925;Benzin;75;103.5;11.893.692;75.756;0.876744186;11.31
2006;volvo-s80-2006-Benzin;volvo;s80;S80 2,5T;Large;BenzinLarge;200;7.95E-05;1401858645,00;1.308.288.209;2160;Benzin;147;171.5;1.344.129;9.021;111.980.198;11.31
2006;hyundai-tucson-2006-Benzin;hyundai;tucson;2,0  2WD;Large;BenzinLarge;197;7.83E-05;3124719626,00;2.442.923.036;2050;Benzin;104;141;1.309.392;7.794;0.9048;11.31
2006;volkswagen-jetta-2006-Benzin;volkswagen;jetta;2,0 FSI;Large;BenzinLarge;195;7.75E-05;3469591121,00;3.165.646.567;1875;Benzin;75;102.75;12.012;803.075;0.844029851;11.31
2006;hyundai-getz-2006-Diesel;hyundai;getz;1,5 CRDI;Small;DieselSmall;194;7.71E-05;128478972,00;103.928.288;1600;Diesel;65;84.2;947.403.984;6.358.416;0.457657658;10.16
